#separator:tab
#html:true
#tags:minmaculate pair
#deck:Minmaculate Grid::Pairs
Front	Back
CHC - NYY	<b>Optimal:</b> LaTroy Hawkins, Lew Burdette, Mike Morgan, Rich Hill<br><b>Twins:</b> LaTroy Hawkins, Mike Morgan, Rich Hill, Terry Mulholland
CHC - OAK	<b>Optimal:</b> Edwin Jackson, Fernando Rodney, Matt Stairs, Mike Morgan, Rich Hill<br><b>Twins:</b> Fernando Rodney, Mike Morgan, Rich Hill
CHC - PHI	<b>Optimal:</b> Lew Burdette, Matt Stairs<br><b>Twins:</b> Terry Mulholland
CHC - PIT	<b>Optimal:</b> Matt Stairs, Rich Hill<br><b>Twins:</b> Bob Miller, Orlando Merced, Rich Hill, Terry Mulholland
CHC - SDP	<b>Optimal:</b> Edwin Jackson, Fernando Rodney, Matt Stairs, Rich Hill<br><b>Twins:</b> Bob Miller, Fernando Rodney, Rich Hill
CHC - SEA	<b>Optimal:</b> Fernando Rodney, Mike Morgan<br><b>Twins:</b> Fernando Rodney, Mike Morgan, Terry Mulholland
CHC - SFG	<b>Optimal:</b> LaTroy Hawkins<br><b>Twins:</b> LaTroy Hawkins, Terry Mulholland
CHC - STL	<b>Optimal:</b> Edwin Jackson, Lew Burdette, Mike Morgan<br><b>Twins:</b> Bob Miller, Mike Morgan
CHC - TBD	<b>Optimal:</b> Edwin Jackson, Fernando Rodney, Rich Hill<br><b>Twins:</b> Fernando Rodney, Rich Hill
CHC - TEX	<b>Optimal:</b> Matt Stairs, Mike Morgan<br><b>Twins:</b> Mike Morgan
CHC - TOR	<b>Optimal:</b> Edwin Jackson, LaTroy Hawkins, Matt Stairs, Mike Morgan<br><b>Twins:</b> LaTroy Hawkins, Mike Morgan, Orlando Merced
CHC - WSN	<b>Optimal:</b> Edwin Jackson, Fernando Rodney, Matt Stairs<br><b>Twins:</b> Fernando Rodney, Orlando Merced
CHW - CIN	<b>Optimal:</b> Billy Hamilton<br><b>Twins:</b> Billy Hamilton, Orlando Cabrera
CHW - CLE	<b>Optimal:</b> Anthony Swarzak, Dennis Cook<br><b>Twins:</b> Anthony Swarzak, Bob Miller, Orlando Cabrera, Pat Borders
CHW - COL	<b>Optimal:</b> Octavio Dotel<br><b>Twins:</b> Alex Colome
CHW - DET	<b>Optimal:</b> Edwin Jackson, Octavio Dotel<br><b>Twins:</b> Bob Miller
CHW - FLA	<b>Optimal:</b> Billy Hamilton, Dennis Cook, Edwin Jackson<br><b>Twins:</b> Billy Hamilton
CHW - HOU	<b>Optimal:</b> Octavio Dotel<br><b>Twins:</b> Pat Borders
CHW - KCR	<b>Optimal:</b> Anthony Swarzak, Billy Hamilton, Ken Brett, Octavio Dotel<br><b>Twins:</b> Anthony Swarzak, Billy Hamilton, Ken Brett, Pat Borders
CHW - LAD	<b>Optimal:</b> Dennis Cook, Edwin Jackson, Ken Brett, Octavio Dotel<br><b>Twins:</b> Bob Miller, Ken Brett
CHW - MIL	<b>Optimal:</b> Anthony Swarzak, Ken Brett<br><b>Twins:</b> Anthony Swarzak, Ken Brett
CHW - MIN	<b>Optimal:</b> Anthony Swarzak, Billy Hamilton, Ken Brett<br><b>Twins:</b> Alex Colome, Anthony Swarzak, Billy Hamilton, Bob Miller, Ken Brett, Orlando Cabrera, Pat Borders, Roy Sievers
CHW - NYM	<b>Optimal:</b> Anthony Swarzak, Billy Hamilton, Dennis Cook, Octavio Dotel<br><b>Twins:</b> Anthony Swarzak, Billy Hamilton, Bob Miller
CHW - NYY	<b>Optimal:</b> Anthony Swarzak, Ken Brett, Octavio Dotel<br><b>Twins:</b> Anthony Swarzak, Ken Brett
CHW - OAK	<b>Optimal:</b> Edwin Jackson, Octavio Dotel<br><b>Twins:</b> Orlando Cabrera
CHW - PHI	<b>Optimal:</b> Dennis Cook, Ken Brett<br><b>Twins:</b> Ken Brett, Roy Sievers
CHW - PIT	<b>Optimal:</b> Ken Brett, Octavio Dotel<br><b>Twins:</b> Bob Miller, Ken Brett
CHW - SDP	<b>Optimal:</b> Edwin Jackson<br><b>Twins:</b> Bob Miller
CHW - SEA	<b>Optimal:</b> Anthony Swarzak<br><b>Twins:</b> Alex Colome, Anthony Swarzak, Pat Borders
CHW - SFG	<b>Optimal:</b> Dennis Cook<br><b>Twins:</b> Orlando Cabrera
CHW - STL	<b>Optimal:</b> Edwin Jackson, Octavio Dotel<br><b>Twins:</b> Bob Miller, Pat Borders
CHW - TBD	<b>Optimal:</b> Edwin Jackson<br><b>Twins:</b> Alex Colome
CHW - TEX	<b>Optimal:</b> Dennis Cook<br><b>Twins:</b> Roy Sievers
CHW - TOR	<b>Optimal:</b> Edwin Jackson, Octavio Dotel<br><b>Twins:</b> Pat Borders
CHW - WSN	<b>Optimal:</b> Edwin Jackson<br><b>Twins:</b> Orlando Cabrera
